Name,Profile Picture
The American International School in Egypt,true
Nozha Language Schools,true
New Cairo British International School,true
Sahara Language School,false
Armenian Catholic Sisters' School,true
Futures Language Schools,true
Horus Language Schools,false
Al Bashaer International Schools,true
Mavericks Blended Learning Schools,true
Futures Tech Language School - مدرسة فيوتشر تيك للغات,true
Futures British International School - مدرسة المستقبل البريطانية الدولية,true
Lycee Francais School,true
The Egyptian Language School,true
Saint Joseph's School,true
"Modern English School, Cairo",true
Garden School Primary School,false
مدرسة البشائر المعادى الجديدة,true
Refaa El Tahtawy Private Schools,false
Ramsis College For Girls,true
Manarat El Mostaqbal American School,true
Manor House International School,true
Alam El Din Private Language Schools,false
Mokattam Language International School,true
Egyptian Integrated Schools,true
Own Heliopolis Language school,false
Badr Al Islam Language Schools,false
Modern School El Zahraa,true
Tarek Ibn Zeyad Experimental Language School,false
St. Joseph Maronite Language Schools,true
Schools Modern School buds,false
Sina Private School,false
مودرن سكول الحلمية,true
Cambridge Egypt - Egypt Integrated Schools,true
Sheraton Heliopolis Schools,true
Rajac Language Schools,false
Thebes Language Schools,false
Leaders Language Schools,true
Dr. Nermine Ismail Language Schools,true
Abdel Moneim Riad Primary School,false
Sunrise Language School,false
Akhnaton Egyptian Language Schools,true
Private Modern School Helmieyet El-Zaitoun,true
Cairo International Language Schools,true
The Egyptian international school - El Marag,true
El Manhal Private School,true
St. Fatima Language School,true
Alsun Language School,true
St. Clair School,false
Al Bayan Modern School,true
Nobel Language School,false
Talaea El Kamal El Islameya School,true
St. Peter's School,true
B. Own Heliopolis Language School,true
Manaret Al Farouk Islamic Language School,true
Saint Fatima Language School,true
Zoser Princes Language School,true
Ammar Ibn Yasser School,false
Heliopolis School,true
El Ola Language School,false
Cleopatra Language School,false
